[2025-08-09 08:13:50.578] 2025 Aug  6 07:45:36 prplOS obuspa[5897]: UpdateCanMtpConnect: WARNING: Timed out waiting for permission to connect. Connecting anyway. Some criteria may not be met.
[2025-08-09 08:13:50.579] 2025 Aug  6 07:45:36 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:13:50.580] 2025 Aug  6 07:45:36 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:13:50.581] 2025 Aug  6 07:45:36 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:14:15.580] 2025 Aug  6 07:46:01 prplOS netmodel-clients: netdev_ - [x]Instance NetDev.Link.[Name == 'eth2']. not found - (find_instance_of_netdev@mib_netdev.c:213)
[2025-08-09 08:14:15.581] 2025 Aug  6 07:46:01 prplOS netmodel-clients: mib     - [!]Mib[netdev_mib] NetModel.Intf.5. Sync object A not found, waiting... - (start_sync@mib.c:620)
[2025-08-09 08:14:15.582] 2025 Aug  6 07:46:01 prplOS netmodel-clients: netdev_ - [x]Instance NetDev.Link.[Name == 'eth3']. not found - (find_instance_of_netdev@mib_netdev.c:213)
[2025-08-09 08:14:15.583] 2025 Aug  6 07:46:01 prplOS netmodel-clients: mib     - [!]Mib[netdev_mib] NetModel.Intf.6. Sync object A not found, waiting... - (start_sync@mib.c:620)
[2025-08-09 08:14:16.580] 2025 Aug  6 07:46:02 prplOS netmodel-clients: netdev_ - [x]Instance NetDev.Link.[Name == 'eth4']. not found - (find_instance_of_netdev@mib_netdev.c:213)
[2025-08-09 08:14:16.582] 2025 Aug  6 07:46:02 prplOS netmodel-clients: mib     - [!]Mib[netdev_mib] NetModel.Intf.7. Sync object A not found, waiting... - (start_sync@mib.c:620)
[2025-08-09 08:14:16.583] 2025 Aug  6 07:46:02 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:14:16.584] 2025 Aug  6 07:46:02 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:14:16.585] 2025 Aug  6 07:46:02 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:14:22.580] 2025 Aug  6 07:46:08 prplOS netmodel-clients: netdev_ - [x]Instance NetDev.Link.[Name == 'pppoe-wan']. not found - (find_instance_of_netdev@mib_netdev.c:213)
[2025-08-09 08:14:22.581] 2025 Aug  6 07:46:08 prplOS netmodel-clients: mib     - [!]Mib[netdev_mib] NetModel.Intf.46. Sync object A not found, waiting... - (start_sync@mib.c:620)
[2025-08-09 08:14:23.581] 2025 Aug  6 07:46:09 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:14:23.582] 2025 Aug  6 07:46:09 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:14:23.583] 2025 Aug  6 07:46:09 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:14:24.581] 2025 Aug  6 07:46:10 prplOS netmodel-clients: netdev_ - [x]Instance NetDev.Link.[Name == 'dslite0']. not found - (find_instance_of_netdev@mib_netdev.c:213)
[2025-08-09 08:14:24.582] 2025 Aug  6 07:46:10 prplOS netmodel-clients: mib     - [!]Mib[netdev_mib] NetModel.Intf.47. Sync object A not found, waiting... - (start_sync@mib.c:620)
[2025-08-09 08:14:30.580] 2025 Aug  6 07:46:17 prplOS netmodel-clients: netdev_ - [!]Won't be able to change sync object_a[Device.WiFi.SSID.3.] - (create_netdev_subscription@mib_netdev.c:237)
[2025-08-09 08:14:30.581] 2025 Aug  6 07:46:17 prplOS netmodel-clients: mib     - [!]Mib[netdev_mib] failed subscr: O[] E[notification in ['dm:instance-added','dm:instance-removed']] - (start_sync@mib.c:603)
[2025-08-09 08:14:30.582] 2025 Aug  6 07:46:17 prplOS netmodel-clients: mib     - [!]Mib[netdev_mib] NetModel.Intf.51. Sync object A not found, waiting... - (start_sync@mib.c:620)
[2025-08-09 08:14:32.582] 2025 Aug  6 07:46:18 prplOS netmodel-clients: netdev_ - [!]Won't be able to change sync object_a[Device.WiFi.SSID.1.] - (create_netdev_subscription@mib_netdev.c:237)
[2025-08-09 08:14:32.583] 2025 Aug  6 07:46:18 prplOS netmodel-clients: mib     - [!]Mib[netdev_mib] failed subscr: O[] E[notification in ['dm:instance-added','dm:instance-removed']] - (start_sync@mib.c:603)
[2025-08-09 08:14:32.584] 2025 Aug  6 07:46:18 prplOS netmodel-clients: mib     - [!]Mib[netdev_mib] NetModel.Intf.60. Sync object A not found, waiting... - (start_sync@mib.c:620)
[2025-08-09 08:14:32.585] 2025 Aug  6 07:46:18 prplOS tr181-dhcpv4client: mod-dhc - [!][eth0] Broadcast DISCOVER. - (dhcp_packet_send@dhcp_packet.c:641)
[2025-08-09 08:14:32.586] 2025 Aug  6 07:46:19 prplOS netmodel-clients: netdev_ - [!]Won't be able to change sync object_a[Device.WiFi.SSID.5.] - (create_netdev_subscription@mib_netdev.c:237)
[2025-08-09 08:14:32.587] 2025 Aug  6 07:46:19 prplOS netmodel-clients: mib     - [!]Mib[netdev_mib] failed subscr: O[] E[notification in ['dm:instance-added','dm:instance-removed']] - (start_sync@mib.c:603)
[2025-08-09 08:14:32.588] 2025 Aug  6 07:46:19 prplOS netmodel-clients: mib     - [!]Mib[netdev_mib] NetModel.Intf.62. Sync object A not found, waiting... - (start_sync@mib.c:620)
[2025-08-09 08:14:58.585] 2025 Aug  6 07:46:44 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:14:58.587] 2025 Aug  6 07:46:44 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:14:58.588] 2025 Aug  6 07:46:44 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:15:04.586] 2025 Aug  6 07:46:50 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:15:04.588] 2025 Aug  6 07:46:50 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:15:04.589] 2025 Aug  6 07:46:50 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:15:09.587] 2025 Aug  6 07:46:55 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:15:09.589] 2025 Aug  6 07:46:55 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:15:09.611] 2025 Aug  6 07:46:55 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:15:35.590] 2025 Aug  6 07:47:21 prplOS tr181-dhcpv4client: mod-dhc - [!][eth0] Broadcast DISCOVER. - (dhcp_packet_send@dhcp_packet.c:641)
[2025-08-09 08:15:37.591] 2025 Aug  6 07:47:23 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:15:37.592] 2025 Aug  6 07:47:23 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:15:37.593] 2025 Aug  6 07:47:23 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:16:15.595] 2025 Aug  6 07:48:01 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:16:15.597] 2025 Aug  6 07:48:01 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:16:15.598] 2025 Aug  6 07:48:01 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:16:38.598] 2025 Aug  6 07:48:24 prplOS tr181-dhcpv4client: mod-dhc - [!][eth0] Broadcast DISCOVER. - (dhcp_packet_send@dhcp_packet.c:641)
[2025-08-09 08:16:42.598] 2025 Aug  6 07:48:28 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:16:42.599] 2025 Aug  6 07:48:28 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:16:42.600] 2025 Aug  6 07:48:28 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:16:46.599] 2025 Aug  6 07:48:32 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:16:46.600] 2025 Aug  6 07:48:32 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:16:46.601] 2025 Aug  6 07:48:32 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:17:34.605] 2025 Aug  6 07:49:20 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:17:34.606] 2025 Aug  6 07:49:20 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:17:34.607] 2025 Aug  6 07:49:20 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:17:41.606] 2025 Aug  6 07:49:27 prplOS tr181-dhcpv4client: mod-dhc - [!][eth0] Broadcast DISCOVER. - (dhcp_packet_send@dhcp_packet.c:641)
[2025-08-09 08:18:09.610] 2025 Aug  6 07:49:55 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:18:09.612] 2025 Aug  6 07:49:55 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:18:09.613] 2025 Aug  6 07:49:55 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:18:14.611] 2025 Aug  6 07:50:00 prplOS crond[5987]: USER root pid 10786 cmd /usr/sbin/logrotate /etc/logrotate.conf
[2025-08-09 08:18:34.613] 2025 Aug  6 07:50:20 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:18:34.614] 2025 Aug  6 07:50:20 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:18:34.615] 2025 Aug  6 07:50:20 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:18:43.615] 2025 Aug  6 07:50:29 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:18:43.616] 2025 Aug  6 07:50:29 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:18:43.617] 2025 Aug  6 07:50:29 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:18:44.615] 2025 Aug  6 07:50:30 prplOS tr181-dhcpv4client: mod-dhc - [!][eth0] Broadcast DISCOVER. - (dhcp_packet_send@dhcp_packet.c:641)
[2025-08-09 08:19:35.620] 2025 Aug  6 07:51:22 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:19:35.622] 2025 Aug  6 07:51:22 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:19:35.623] 2025 Aug  6 07:51:22 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
